date,home_team,away_team,competition,neutral,home_confederation,away_confederation,home_fifa_rank,away_fifa_rank,tournament_stage,home_form_last5,away_form_last5,home_goals_for_last5,away_goals_for_last5,home_goals_against_last5,away_goals_against_last5,home_rest_days,away_rest_days,home_elo_pre,away_elo_pre,elo_diff_home_away,elo_win_prob,form_diff_home_away,goal_balance_diff,rank_diff,competition_weight,is_same_confederation,home_score,away_score,target,match_weight
2010-02-06,Japan,China PR,EAFF Championship,0,AFC,UNKNOWN,15,75,Unknown,2.0,2.0,1.5,1.0,1.0,0.5,4,20,1517.3576625322753,1522.790276694283,-5.432614162007667,0.6328292482515874,0.0,0.0,-60,2,0,0,0,D,0.0037
2010-02-07,Korea Republic,Hong Kong,EAFF Championship,1,AFC,AFC,26,75,Unknown,2.0,0.0,1.6666666666666667,0.0,1.3333333333333333,4.0,16,32,1522.4352458700375,1473.0048749852165,49.43037088482106,0.5706599137464465,2.0,4.333333333333334,-49,2,1,5,0,H,0.003704
2010-02-10,China PR,Korea Republic,EAFF Championship,1,UNKNOWN,AFC,75,26,Unknown,1.6666666666666667,2.25,0.6666666666666666,2.5,0.3333333333333333,1.0,4,3,1528.1034466243464,1556.782452770322,-28.679006145975563,0.45882107623270996,-0.5833333333333333,-1.1666666666666667,49,2,0,3,0,H,0.003715
2010-02-10,Argentina,Jamaica,International Friendly,0,CONMEBOL,CONCACAF,1,60,Unknown,3.0,3.0,3.0,1.0,2.0,0.0,15,10,1514.3974000078847,1514.3974000078847,0.0,0.6400649998028851,0.0,0.0,-59,1,0,2,1,H,0.003715
2010-02-11,Japan,Hong Kong,EAFF Championship,0,AFC,AFC,15,75,Unknown,1.6666666666666667,0.0,1.0,0.0,0.6666666666666666,4.5,5,4,1512.044492602212,1438.657668084932,73.38682451727982,0.7306838274664257,1.6666666666666667,4.833333333333333,-60,2,1,3,0,H,0.003718
2010-02-14,Hong Kong,China PR,EAFF Championship,1,AFC,UNKNOWN,75,75,Unknown,0.0,2.0,0.0,1.25,4.0,0.25,3,4,1419.8055360075818,1565.9859712880566,-146.18043528047474,0.3012227015305131,-2.0,-5.0,0,2,0,0,2,A,0.003729
2010-02-14,Japan,Korea Republic,EAFF Championship,0,AFC,AFC,15,26,Unknown,2.0,1.8,1.5,2.0,0.5,1.4,3,4,1530.8966246795621,1518.8999281066117,11.996696572950441,0.6558162135963814,0.19999999999999996,0.3999999999999999,-11,2,1,1,3,A,0.003729
2010-02-16,Sri Lanka,Myanmar,AFC Challenge Cup,0,AFC,AFC,75,75,Unknown,1.5,1.5,1.0,1.0,1.0,1.0,7,7,1500.0,1500.0,0.0,0.6400649998028851,0.0,0.0,0,2,1,0,4,A,0.003736
2010-02-16,Tajikistan,Bangladesh,AFC Challenge Cup,1,AFC,AFC,75,75,Unknown,3.0,1.5,1.0,1.0,0.0,1.0,45,7,1525.6025999921153,1500.0,25.6025999921153,0.5367785550583285,1.5,1.0,0,2,1,1,2,A,0.003736
2010-02-17,Korea DPR,Turkmenistan,AFC Challenge Cup,1,AFC,AFC,75,75,Unknown,0.0,1.5,0.0,1.0,1.0,1.0,46,7,1480.0,1500.0,-20.0,0.4712494361077314,-1.5,-1.0,0,2,1,1,1,D,0.003739
2010-02-18,Bangladesh,Myanmar,AFC Challenge Cup,1,AFC,AFC,75,75,Unknown,3.0,3.0,2.0,4.0,1.0,0.0,2,2,1521.471142202333,1548.0048749852165,-26.533732782883362,0.46188895332041724,0.0,-3.0,0,2,1,1,2,A,0.003743
2010-02-18,Sri Lanka,Tajikistan,AFC Challenge Cup,0,AFC,AFC,75,75,Unknown,0.0,1.5,0.0,1.0,4.0,1.0,2,2,1451.9951250147835,1504.1314577897822,-52.136332774998664,0.5684488805583295,-1.5,-4.0,0,2,1,1,3,A,0.003743
2010-02-19,Kuwait,Syria,International Friendly,1,AFC,AFC,75,75,Unknown,1.0,1.6666666666666667,2.0,2.3333333333333335,2.0,0.3333333333333333,44,27,1494.3974000078847,1539.1934955877994,-44.79609557991466,0.43588810547718004,-0.6666666666666667,-2.0,0,1,1,1,1,D,0.003746
2010-02-19,Kyrgyzstan,Korea DPR,AFC Challenge Cup,1,AFC,AFC,75,75,Unknown,1.5,0.5,1.0,0.5,1.0,1.0,7,2,1500.0,1481.1500225556908,18.84997744430916,0.5271007125144217,1.0,0.5,0,2,1,0,4,A,0.003746
2010-02-20,Tajikistan,Myanmar,AFC Challenge Cup,1,AFC,AFC,75,75,Unknown,2.0,3.0,1.6666666666666667,3.0,1.0,0.5,2,2,1538.238390623282,1566.4804331180333,-28.24204249475133,0.4594457165332021,-1.0,-1.8333333333333333,0,2,1,3,0,H,0.00375
2010-02-20,Sri Lanka,Bangladesh,AFC Challenge Cup,0,AFC,AFC,75,75,Unknown,0.0,1.5,0.5,1.5,3.5,1.5,2,2,1417.8881921812838,1502.9955840695163,-85.10739188823254,0.5214190693625619,-1.5,-3.0,0,2,1,3,0,H,0.00375
2010-02-21,Turkmenistan,Kyrgyzstan,AFC Challenge Cup,1,AFC,AFC,75,75,Unknown,1.0,0.0,1.0,0.0,1.0,4.0,4,2,1498.8499774443092,1460.4674465614185,38.382530882890705,0.5550132815416172,1.0,4.0,0,2,1,1,0,H,0.003754
2010-02-24,Tajikistan,Turkmenistan,AFC Challenge Cup,1,AFC,AFC,75,75,Unknown,2.25,2.0,2.0,1.0,0.75,0.5,4,3,1576.0771904659578,1516.6494461826444,59.42774428331336,0.5846989924415225,0.25,0.75,0,2,1,0,2,A,0.003764
2010-02-24,United States,El Salvador,International Friendly,0,CONCACAF,CONCACAF,13,81,Unknown,0.0,1.5,1.0,1.0,3.0,1.0,32,7,1461.5961000118268,1500.0,-38.40389998817318,0.5877267216136167,-1.5,-2.0,-68,1,1,2,1,H,0.003764
2010-02-24,Korea DPR,Myanmar,AFC Challenge Cup,1,AFC,AFC,75,75,Unknown,1.3333333333333333,2.0,1.6666666666666667,2.0,0.6666666666666666,1.3333333333333333,5,4,1520.6825759942724,1528.6416332753574,-7.959057281085052,0.4885479990221629,-0.6666666666666667,0.33333333333333326,0,2,1,5,0,H,0.003764
2010-02-24,Mexico,Bolivia,International Friendly,1,CONCACAF,CONMEBOL,18,51,Unknown,1.5,1.5,1.0,1.0,1.0,1.0,7,7,1500.0,1500.0,0.0,0.5,0.0,0.0,-33,1,0,5,0,H,0.003764
2010-02-25,Jordan,Azerbaijan,International Friendly,0,AFC,UEFA,71,75,Unknown,1.0,1.5,0.0,1.0,0.0,1.0,50,7,1505.6025999921153,1500.0,5.602599992115302,0.6474610286777414,-0.5,0.0,-4,1,0,0,2,A,0.003768
2010-02-25,Kuwait,Bahrain,International Friendly,1,AFC,AFC,75,75,Unknown,1.0,1.5,1.5,2.0,1.5,1.5,6,36,1496.9618757887974,1496.572148616149,0.38972717264846324,0.5005608622510588,-0.5,-0.5,0,1,1,4,1,H,0.003768
2010-02-25,Turkmenistan,Korea DPR,AFC Challenge Cup,1,AFC,AFC,75,75,Unknown,2.3333333333333335,1.75,1.3333333333333333,2.5,0.3333333333333333,0.5,1,1,1551.7313857291358,1561.5987360724994,-9.867350343363569,0.4858035580645537,0.5833333333333335,-1.0,0,2,1,1,1,D,0.003768
2010-02-27,Malaysia,Yemen,International Friendly,0,AFC,AFC,75,75,Unknown,0.0,1.5,0.0,2.0,1.0,1.25,52,38,1485.6025999921153,1503.1146731600181,-17.512073167902827,0.6165283649972401,-1.5,-1.75,0,1,1,1,0,H,0.003775
2010-02-27,Tajikistan,Myanmar,AFC Challenge Cup,1,AFC,AFC,75,75,Unknown,1.8,1.5,1.6,1.5,1.0,2.25,3,3,1540.9952509194663,1487.7254731971304,53.2697777223359,0.5760662528834423,0.30000000000000004,1.35,0,2,1,1,0,H,0.003775
2010-03-02,Guadeloupe,Saint Kitts and Nevis,International Friendly,0,UNKNOWN,CONCACAF,75,75,Unknown,1.5,1.5,1.0,1.0,1.0,1.0,7,7,1500.0,1500.0,0.0,0.6400649998028851,0.0,0.0,0,1,0,2,1,H,0.003786
2010-03-02,Ireland,Brazil,International Friendly,1,UEFA,CONMEBOL,75,5,Unknown,1.5,1.5,1.0,1.0,1.0,1.0,7,7,1500.0,1500.0,0.0,0.5,0.0,0.0,70,1,0,0,2,A,0.003786
